,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
38227,other,other,Product Manager,7.0,1.0,Product,Male,807.0,0,1,0,0,0,1,0,0,0,0
56767,other,other,Software Engineer,7.0,0.0,Distributed Systems (Back-End),Male,807.0,1,0,0,0,0,1,0,0,0,0
43715,microsoft,other,Software Engineer,0.0,0.0,Distributed Systems (Back-End),Male,807.0,0,1,0,0,0,1,0,0,0,0
55397,microsoft,other,Software Engineer,2.0,0.0,API Development (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
27134,other,L4,Product Manager,15.0,1.0,Product,Male,506.0,0,1,0,0,0,1,0,0,0,0
41899,apple,other,Software Engineer,5.0,2.0,other,Male,807.0,0,1,0,0,0,0,1,0,0,0
47653,google,L6,Product Manager,13.0,8.0,other,Male,807.0,0,1,0,0,0,0,1,0,0,0
51684,other,other,Software Engineer,9.0,5.0,API Development (Back-End),Female,807.0,1,0,0,0,0,1,0,0,0,0
30733,microsoft,other,Technical Program Manager,13.0,5.0,other,Male,819.0,0,0,0,1,0,0,1,0,0,0
49376,other,L3,Software Engineer,7.0,0.0,Full Stack,Male,807.0,1,0,0,0,0,1,0,0,0,0
40953,other,other,Software Engineering Manager,12.0,2.0,Full Stack,Male,511.0,0,1,0,0,0,0,1,0,0,0
38110,other,other,Software Engineer,0.0,0.0,Full Stack,Female,820.0,0,1,0,0,0,1,0,0,0,0
49558,amazon,L4,Software Engineer,4.0,2.0,Distributed Systems (Back-End),Male,819.0,1,0,0,0,0,1,0,0,0,0
40741,salesforce,other,Technical Program Manager,10.0,2.0,other,Male,807.0,0,1,0,0,0,1,0,0,0,0
58654,other,other,Software Engineer,5.0,5.0,Web Development (Front-End),Female,807.0,1,0,0,0,0,1,0,0,0,0
38239,other,other,Software Engineer,5.0,0.0,Data,Male,807.0,1,0,0,0,0,1,0,0,0,0
24576,apple,other,Product Manager,16.0,7.0,other,Female,807.0,1,0,0,0,0,1,0,0,0,0
58229,other,other,Technical Program Manager,10.0,5.0,other,Male,560.0,1,0,0,0,0,0,1,0,0,0
36218,other,L3,Data Scientist,0.0,0.0,Data,Female,807.0,1,0,0,0,0,1,0,0,0,0
48182,other,L4,Product Manager,18.0,1.0,Product,Male,635.0,1,0,0,0,0,1,0,0,0,0
41771,amazon,other,Software Engineering Manager,17.0,0.0,other,Female,501.0,1,0,0,0,0,0,1,0,0,0
29228,microsoft,other,Technical Program Manager,25.0,5.0,Data,Male,819.0,0,1,0,0,0,0,1,0,0,0
31441,google,L3,Software Engineer,2.0,2.0,Distributed Systems (Back-End),Male,807.0,0,1,0,0,0,0,1,0,0,0
53838,other,other,Data Scientist,4.0,1.0,other,Male,511.0,1,0,0,0,0,0,0,0,0,1
47694,other,L1,Software Engineer,5.0,3.0,API Development (Back-End),Female,807.0,0,1,0,0,0,0,1,0,0,0
35827,facebook,other,Product Manager,7.0,0.0,Product,Female,0.0,0,1,0,0,0,0,0,0,1,0
42896,other,L2,Software Engineer,2.0,2.0,other,Male,618.0,0,1,0,0,0,0,1,0,0,0
41650,microsoft,other,Data Scientist,0.0,0.0,other,Male,819.0,0,0,1,0,0,0,1,0,0,0
