,company,level,title,totalyearlycompensation,yearsofexperience,yearsatcompany,tag,gender,cityid,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
57824,intel,other,Software Engineer,355000,9.0,5.0,other,Male,7434,807.0,0,0,1,0,0,1,0,0,0,0
57826,other,L7,Software Engineer,197000,26.0,2.0,Distributed Systems (Back-End),Male,6731,0.0,0,0,0,0,1,0,1,0,0,0
57828,other,other,Technical Program Manager,209000,15.0,7.0,other,Male,7422,807.0,1,0,0,0,0,1,0,0,0,0
57829,other,other,Product Designer,160000,6.0,6.0,other,Female,11109,618.0,1,0,0,0,0,1,0,0,0,0
57830,cisco,other,Solution Architect,150000,10.0,4.0,other,Male,4015,0.0,1,0,0,0,0,0,1,0,0,0
57831,other,other,other,177000,14.0,4.0,other,Female,10182,501.0,0,1,0,0,0,0,1,0,0,0
57834,microsoft,other,Technical Program Manager,146000,5.0,1.0,other,Female,11527,819.0,1,0,0,0,0,1,0,0,0,0
57835,other,L1,Product Designer,183000,1.0,1.0,User Experience (UX),Female,7419,807.0,0,1,0,0,0,1,0,0,0,0
57836,facebook,other,Software Engineer,700000,7.0,7.0,Web Development (Front-End),Male,7300,807.0,0,1,0,0,0,1,0,0,0,0
57837,amazon,L5,Software Engineer,278000,8.0,4.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
57840,other,other,Software Engineer,314000,16.0,0.0,ML / AI,Male,11470,819.0,1,0,0,0,0,1,0,0,0,0
57843,other,other,Software Engineer,250000,7.0,3.0,Web Development (Front-End),Male,7322,807.0,1,0,0,0,0,1,0,0,0,0
57844,amazon,L4,Software Engineer,130000,0.0,0.0,Distributed Systems (Back-End),Male,1320,0.0,0,1,0,0,0,0,1,0,0,0
57845,facebook,other,Software Engineer,240000,3.0,3.0,API Development (Back-End),Male,7300,807.0,1,0,0,0,0,1,0,0,0,0
57847,apple,other,Technical Program Manager,221000,7.0,2.0,other,Female,7158,807.0,1,0,0,0,0,1,0,0,0,0
57848,salesforce,other,Software Engineer,340000,5.0,1.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
57849,other,other,Technical Program Manager,265000,5.0,2.0,other,Male,7322,807.0,1,0,0,0,0,0,1,0,0,0
57850,intel,other,Business Analyst,482000,21.0,21.0,other,Male,7434,807.0,0,1,0,0,0,0,1,0,0,0
57853,microsoft,other,Solution Architect,157000,3.0,1.0,other,Female,11039,623.0,0,1,0,0,0,1,0,0,0,0
57854,google,L5,Software Engineer,385000,8.0,0.0,Distributed Systems (Back-End),Male,7322,807.0,1,0,0,0,0,0,1,0,0,0
57855,google,L5,other,263000,15.0,10.0,other,Female,7322,807.0,1,0,0,0,0,0,1,0,0,0
57858,other,other,Software Engineer,83000,1.0,1.0,ML / AI,Male,7839,524.0,1,0,0,0,0,0,1,0,0,0
57859,other,L1,other,85000,3.0,1.0,other,Female,10182,501.0,0,1,0,0,0,0,0,0,1,0
57860,facebook,IC4,other,153000,5.0,0.0,other,Male,7275,803.0,0,1,0,0,0,0,0,1,0,0
57861,other,other,Software Engineer,260000,3.0,0.0,ML / AI,Male,7392,807.0,1,0,0,0,0,1,0,0,0,0
57862,other,other,Software Engineer,112000,1.0,1.0,Full Stack,Male,10182,501.0,0,1,0,0,0,0,1,0,0,0
57863,microsoft,other,Data Scientist,206000,0.0,0.0,other,Male,11521,819.0,0,0,1,0,0,0,1,0,0,0
57865,other,other,other,102000,4.0,4.0,other,Male,9050,505.0,1,0,0,0,0,0,1,0,0,0
57866,other,L4,Software Engineer,149000,10.0,7.0,Full Stack,Male,8811,506.0,1,0,0,0,0,1,0,0,0,0
57867,other,other,Software Engineer,96000,11.0,3.0,Distributed Systems (Back-End),Male,11109,618.0,0,0,1,0,0,0,1,0,0,0
57868,ibm,other,Software Engineer,118000,4.0,4.0,Distributed Systems (Back-End),Male,10206,501.0,0,1,0,0,0,0,1,0,0,0
57869,other,other,Software Engineer,135000,4.0,0.0,Web Development (Front-End),Female,8821,506.0,0,1,0,0,0,1,0,0,0,0
57871,other,L4,Software Engineer,90000,4.0,2.0,Full Stack,Male,7548,751.0,0,1,0,0,0,0,1,0,0,0
57872,other,other,Software Engineer,400000,16.0,0.0,Full Stack,Male,7419,807.0,0,0,1,0,0,0,1,0,0,0
57875,amazon,L7,Software Engineering Manager,780000,18.0,2.0,Distributed Systems (Back-End),Male,11527,819.0,0,0,1,0,0,0,1,0,0,0
57876,other,other,Software Engineer,106000,7.0,5.0,Full Stack,Male,24265,537.0,1,0,0,0,0,1,0,0,0,0
57877,facebook,other,Software Engineer,616000,15.0,0.0,Distributed Systems (Back-End),Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
57878,other,other,Software Engineer,267000,10.0,0.0,Full Stack,Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
57879,other,other,Software Engineer,185000,5.0,0.0,other,Male,15555,770.0,1,0,0,0,0,1,0,0,0,0
57882,amazon,L6,Software Engineer,250000,8.0,6.0,API Development (Back-End),Male,11527,819.0,0,1,0,0,0,1,0,0,0,0
57883,cisco,other,Software Engineer,140000,4.0,2.0,other,Male,7419,807.0,0,1,0,0,0,0,1,0,0,0
57886,apple,other,Software Engineer,268000,0.0,0.0,ML / AI,Female,7158,807.0,1,0,0,0,0,1,0,0,0,0
57887,other,L3,Software Engineer,98000,3.0,0.0,Full Stack,Male,14255,506.0,0,1,0,0,0,0,1,0,0,0
57888,other,other,Software Engineer,35000,3.0,1.0,Full Stack,Female,42498,0.0,0,1,0,0,0,1,0,0,0,0
57891,other,other,Product Designer,425000,15.0,3.0,User Experience (UX),Male,7419,807.0,0,1,0,0,0,0,0,0,1,0
57893,intel,other,Software Engineer,222000,21.0,21.0,other,Male,4037,0.0,0,1,0,0,0,0,1,0,0,0
57894,other,L5,Product Designer,252000,20.0,1.0,User Experience (UX),Male,7419,807.0,1,0,0,0,0,1,0,0,0,0
57895,other,other,Software Engineer,147000,15.0,6.0,Full Stack,Male,7419,807.0,0,1,0,0,0,0,0,0,0,1
57896,other,L3,Software Engineer,50000,10.0,10.0,Distributed Systems (Back-End),Male,3819,0.0,0,1,0,0,0,0,1,0,0,0
57897,facebook,other,Software Engineering Manager,349000,17.0,1.0,Full Stack,Male,12008,0.0,0,1,0,0,0,0,1,0,0,0
57898,google,L4,Software Engineer,312000,4.0,0.0,Distributed Systems (Back-End),Male,7322,807.0,1,0,0,0,0,1,0,0,0,0
57899,other,L1,Software Engineer,77000,3.0,0.0,Data,Male,3651,0.0,1,0,0,0,0,1,0,0,0,0
57900,other,L3,Software Engineer,33000,5.0,1.0,Distributed Systems (Back-End),Male,4058,0.0,0,1,0,0,0,1,0,0,0,0
57905,other,L2,Software Engineer,40000,5.0,2.0,API Development (Back-End),Male,4058,0.0,1,0,0,0,0,1,0,0,0,0
57909,cisco,other,Software Engineer,224000,15.0,1.0,other,Female,7422,807.0,1,0,0,0,0,1,0,0,0,0
57910,other,L2,Software Engineer,124000,6.0,0.0,Full Stack,Female,11445,511.0,1,0,0,0,0,1,0,0,0,0
57912,other,L4,Software Engineer,258000,3.0,0.0,Full Stack,Female,10182,501.0,0,1,0,0,0,1,0,0,0,0
57914,oracle,other,Software Engineering Manager,150000,15.0,10.0,Full Stack,Female,8198,602.0,0,1,0,0,0,0,0,0,1,0
57915,microsoft,other,Software Engineering Manager,560000,28.0,11.0,Full Stack,Male,7322,807.0,1,0,0,0,0,1,0,0,0,0
57916,salesforce,L4,Solution Architect,210000,5.0,1.0,other,Male,7275,803.0,0,1,0,0,0,1,0,0,0,0
57918,other,other,Software Engineer,120000,4.0,0.0,Distributed Systems (Back-End),Male,1206,0.0,1,0,0,0,0,1,0,0,0,0
57922,other,other,Product Manager,30000,4.0,2.0,Product,Female,6457,0.0,1,0,0,0,0,1,0,0,0,0
57925,other,other,Software Engineer,121000,0.0,0.0,other,Other,7419,807.0,0,1,0,0,0,1,0,0,0,0
57926,cisco,other,Data Scientist,200000,4.0,0.0,other,Male,7304,807.0,1,0,0,0,0,1,0,0,0,0
57927,microsoft,other,Software Engineer,131000,4.0,0.0,other,Female,7839,524.0,0,1,0,0,0,1,0,0,0,0
57928,other,other,Software Engineering Manager,176000,4.0,0.0,DevOps,Male,4015,0.0,0,1,0,0,0,0,1,0,0,0
57929,other,L3,Software Engineer,138000,3.0,3.0,API Development (Back-End),Male,6924,670.0,1,0,0,0,0,1,0,0,0,0
57931,cisco,other,Product Manager,236000,6.0,3.0,Product,Female,7419,807.0,1,0,0,0,0,1,0,0,0,0
57933,other,other,Software Engineer,90000,0.0,0.0,API Development (Back-End),Male,11115,623.0,0,0,0,0,1,1,0,0,0,0
57935,other,other,Software Engineer,10000,4.0,4.0,Full Stack,Male,4058,0.0,0,1,0,0,0,1,0,0,0,0
57936,facebook,E5,Software Engineer,236000,10.0,0.0,Distributed Systems (Back-End),Male,12008,0.0,1,0,0,0,0,0,1,0,0,0
57938,other,other,Software Engineer,225000,4.0,2.0,Web Development (Front-End),Male,7322,807.0,0,1,0,0,0,0,1,0,0,0
57939,other,other,Software Engineer,58000,8.0,0.0,Web Development (Front-End),Male,42498,0.0,0,1,0,0,0,1,0,0,0,0
57943,amazon,L5,Software Engineer,191000,4.0,2.0,Distributed Systems (Back-End),Male,11527,819.0,1,0,0,0,0,1,0,0,0,0
57944,ibm,other,Software Engineer,158000,20.0,5.0,Distributed Systems (Back-End),Female,9606,560.0,0,1,0,0,0,0,1,0,0,0
57947,intel,other,Software Engineer,128000,2.0,0.0,Full Stack,Male,10304,515.0,0,1,0,0,0,0,1,0,0,0
57951,other,other,Software Engineer,215000,15.0,5.0,Full Stack,Female,8053,679.0,0,1,0,0,0,0,1,0,0,0
57952,other,L6,other,205000,9.0,9.0,other,Female,11527,819.0,0,1,0,0,0,0,1,0,0,0
